State,Year,Inflation Adjusted Total Spending,Num Students,Num Teachers,Population,Personal Income,NAEP Scores,Effort,Alternative Effort,Alternative Effort Ranked,Effort Ranked,Inflation Adjusted Exp Per Student
District of Columbia,1980,889812719,100049,5238,638333,26913003802,,3.99,3.99,48.0,48.0,8893.769243070896
Florida,1980,10059120927,1510225,73983,9746324,318043308941,,3.86,3.82,50.0,50.0,6660.677003095565
Georgia,1980,5091017248,1068737,56514,5463105,150353955753,,4.11,4.09,45.0,45.0,4763.582853405468
Hawaii,1980,1190933024,165068,7185,964691,36587144490,,3.94,3.93,49.0,49.0,7214.802529866479
Idaho,1980,1063934496,203247,9938,943935,26745741366,,4.83,4.8,24.0,22.0,5234.68733117832
Illinois,1980,14389847313,1983463,108064,11426518,398916130296,,4.36,4.36,37.0,37.0,7254.91088717057
Indiana,1980,5722542949,1055589,53099,5490224,163817466747,,4.22,4.22,41.0,41.0,5421.184712042282
Iowa,1980,4032213822,533857,32745,2913808,89186560898,,5.46,5.46,11.0,12.0,7552.98482927076
Kansas,1980,2888958757,415291,26366,2363679,76046105352,,4.6,4.59,32.0,32.0,6956.4684931770735
Kentucky,1980,3305567351,669798,32892,3660777,95169458576,,4.2,4.2,42.0,43.0,4935.170530518156
Louisiana,1980,5329114617,777560,43930,4205900,119055171589,,5.43,5.41,13.0,13.0,6853.637811873039
Maine,1980,1209977076,222497,11775,1124660,30755579492,,4.76,4.75,27.0,26.0,5438.172541652247
Maryland,1980,5840011915,750665,40863,4216975,154529144744,,4.58,4.56,33.0,33.0,7779.78447776305
Massachusetts,1980,8425453656,1021885,64987,5737037,195581399780,,5.21,5.2,14.0,14.0,8245.011577623705
Michigan,1980,15665289257,1797052,84377,9262078,301659873712,,6.27,6.27,2.0,2.0,8717.21533767526
Minnesota,1980,5728958295,754318,44142,4075970,133816639084,,5.18,5.17,15.0,15.0,7594.884776712209
Mississippi,1980,2161193821,477059,25933,2520638,57657751060,,4.54,4.53,34.0,34.0,4530.244311500254
Missouri,1980,4953979668,844648,48878,4916686,146936704542,,4.08,4.07,46.0,46.0,5865.1410623123475
Montana,1980,1145874866,155193,9370,786690,22974212387,,6.04,6.02,3.0,3.0,7383.5473636053175
Nebraska,1980,1896316603,280430,16796,1569825,47018904362,,4.88,4.87,20.0,20.0,6762.17452840281
Nevada,1980,867494671,149481,7129,800493,30848927861,,3.44,3.4,51.0,51.0,5803.377492791726
New Hampshire,1980,1026569929,167232,8448,920610,29559892023,,4.21,4.19,43.0,42.0,6138.5974514447
New Jersey,1980,11000491563,1246008,76550,7364823,277326534562,,4.8,4.79,25.0,25.0,8828.588229770596
New Mexico,1980,1688891100,271198,14089,1302894,36074524949,,5.68,5.65,5.0,5.0,6227.520483189404
New York,1980,27916245724,2871724,155320,17558072,615712141639,,5.48,5.48,9.0,10.0,9721.075466862414
North Carolina,1980,6368367516,1129376,56222,5881766,156898536620,,4.92,4.9,18.0,19.0,5638.837301306208
North Dakota,1980,766335396,116885,7375,652717,16789644001,,5.53,5.51,8.0,7.0,6556.31942507593
Ohio,1980,12510702614,1957381,100527,10797630,341484581767,,4.43,4.43,35.0,36.0,6391.5520861804625
Oklahoma,1980,3597697731,577807,33901,3025290,93280826730,,4.68,4.66,29.0,29.0,6226.469618748129
Oregon,1980,3896912727,464599,22596,2633105,86117534149,,5.48,5.47,10.0,11.0,8387.690733299038
Pennsylvania,1980,14938335283,1909292,109928,11863895,379409825743,,4.76,4.76,26.0,27.0,7824.01816118226
Rhode Island,1980,1191991195,148956,9192,947154,29917992933,,4.82,4.81,23.0,23.0,8002.304002524235
South Carolina,1980,3033083968,619223,32214,3121820,79543323937,,4.62,4.61,31.0,31.0,4898.209478653086
South Dakota,1980,730212897,128507,7964,690768,18200701769,,4.85,4.85,21.0,21.0,5682.281097527761
Tennessee,1980,4310877402,853569,41162,4591120,121314648149,,4.3,4.29,38.0,38.0,5050.414672978985
Texas,1980,16008763509,2900073,159531,14229191,456038004371,,4.27,4.24,40.0,40.0,5520.124324111841
Utah,1980,1771600226,343618,14372,1461037,39248688086,,5.49,5.45,12.0,9.0,5155.7259107497275
Vermont,1980,678015857,95815,6476,511456,14353665747,,5.72,5.71,4.0,4.0,7076.301800344414
Virginia,1980,6166365513,1010371,57027,5346818,180727858297,,4.14,4.12,44.0,44.0,6103.070568137842
Washington,1980,5400819977,757639,35514,4132156,147324434798,,4.45,4.43,36.0,35.0,7128.487283521572
West Virginia,1980,2275786734,383503,21668,1949644,49805018649,,5.52,5.52,7.0,8.0,5934.208426009705
Wisconsin,1980,6137626089,830247,48491,4705767,150638142596,,4.93,4.92,17.0,17.0,7392.5302819522385
Wyoming,1980,817453162,98305,6361,469557,17542802855,,5.68,5.63,6.0,6.0,8315.478988861198
Alabama,1981,3752445379,743448,36000,3918531,98193794121,,4.47,4.47,19.0,19.0,5047.35419155072
Alaska,1981,1451652171,90858,5665,418491,20377231541,,8.34,8.34,1.0,1.0,15977.153041009047
Arizona,1981,3037709943,507199,25601,2810107,86175378571,,4.13,4.13,31.0,31.0,5989.187563461284
Arkansas,1981,1991678249,437121,23497,2293201,56133613267,,4.15,4.15,30.0,30.0,4556.354531125249
California,1981,28272896417,4046156,175000,24285933,910433155085,,3.64,3.64,48.0,48.0,6987.594254151348
Colorado,1981,3953979982,544174,29462,2977898,105081077866,,4.41,4.41,22.0,22.0,7266.021496800656
Connecticut,1981,4068020219,505386,33723,3128836,123201295184,,3.87,3.87,39.0,39.0,8049.333022679694
Delaware,1981,725346404,95072,5331,595975,20211417066,,4.2,4.2,28.0,28.0,7629.442990575564
District of Columbia,1981,824787994,94975,5132,636893,25909509020,,3.73,3.73,45.0,45.0,8684.264216899184
Florida,1981,9362023719,1487721,74872,10192774,329723509775,,3.32,3.32,51.0,51.0,6292.862518577072
Georgia,1981,5208672970,1056117,56217,5568345,152306579076,,4.0,4.0,37.0,37.0,4931.909030912295
Hawaii,1981,1121035901,162805,7165,978195,35425322583,,3.7,3.7,47.0,47.0,6885.758428795184
Idaho,1981,978575875,204524,9798,962204,26318347117,,4.35,4.35,23.0,23.0,4784.650578905165
Illinois,1981,12990049826,1924084,103793,11443458,395666958149,,3.84,3.84,40.0,40.0,6751.290393766592
Indiana,1981,5623836994,1025172,51303,5480435,160706136425,,4.1,4.1,33.0,33.0,5485.749702488948
Iowa,1981,3691383551,516216,31244,2907983,90260625598,,4.79,4.79,12.0,12.0,7150.850711717576
Kansas,1981,2752850509,409909,26179,2384849,77064414441,,4.18,4.18,29.0,29.0,6715.7601052916625
Kentucky,1981,3050708774,658350,31666,3670394,94695735470,,3.77,3.77,44.0,44.0,4633.870697957013
Louisiana,1981,4894874531,782053,39967,4283303,122749436492,,4.67,4.67,14.0,14.0,6259.006142806178
Maine,1981,1179066776,216293,12000,1133033,30346898129,,4.55,4.55,16.0,16.0,5451.2479645665835
Maryland,1981,5436671740,721841,39120,4261905,153970991736,,4.13,4.13,32.0,32.0,7531.674897934587
Massachusetts,1981,7045290338,947037,62227,5768685,195140845722,,4.23,4.23,26.0,26.0,7439.297871149702
Michigan,1981,13761435077,1724787,78768,9209287,288477871166,,5.58,5.58,3.0,3.0,7978.628710095797
Minnesota,1981,5365686838,733741,42836,4111728,132616252520,,4.74,4.74,13.0,13.0,7312.78044705148
Mississippi,1981,1986322688,471615,24430,2539036,57925663186,,4.01,4.01,36.0,36.0,4211.746208241892
Missouri,1981,4522077949,818705,48135,4932064,146773161979,,3.61,3.61,49.0,49.0,5523.452219053261
Montana,1981,1101756409,153435,9310,795328,23345937449,,5.53,5.53,4.0,4.0,7180.606830253853
Nebraska,1981,1843575380,273340,17410,1578515,48834072569,,4.42,4.42,21.0,21.0,6744.6234725982295
Nevada,1981,891384604,151339,7180,847655,31373124490,,3.33,3.33,50.0,50.0,5889.986084221516
New Hampshire,1981,980518320,163827,9729,936621,29963416540,,3.83,3.83,41.0,41.0,5985.08377739933
New Jersey,1981,10753842257,1199643,75231,7407472,277111317336,,4.54,4.54,17.0,17.0,8964.202064280791
New Mexico,1981,1707525159,268091,14296,1332748,36467503601,,5.48,5.48,5.0,5.0,6369.199857511069
New York,1981,27037290521,2783017,157201,17567734,614483945749,,5.15,5.15,8.0,8.0,9715.100741748973
North Carolina,1981,5775331893,1108960,55833,5956653,158112649872,,4.28,4.28,24.0,24.0,5207.881161628914
North Dakota,1981,810869334,117708,6995,659505,19656707814,,4.83,4.83,11.0,11.0,6888.820929758385
Ohio,1981,11485282194,1898501,96449,10788330,332348050929,,4.05,4.05,35.0,35.0,6049.658227201355
Oklahoma,1981,3851937045,582572,33904,3096164,97449053502,,4.63,4.63,15.0,15.0,6611.950188131253
Oregon,1981,3565519965,457165,22480,2667982,83105531531,,5.02,5.02,9.0,9.0,7799.197149825555
Pennsylvania,1981,13594751154,1839015,107103,11858567,374598548054,,4.25,4.25,25.0,25.0,7392.409063547606
Rhode Island,1981,1039708864,143414,8895,953013,29811847294,,4.08,4.08,34.0,34.0,7249.702706848704
South Carolina,1981,2890924879,609158,32007,3179255,80116312492,,4.22,4.22,27.0,27.0,4745.771834236766
South Dakota,1981,721614380,125657,7964,689584,18951284030,,4.46,4.46,20.0,20.0,5742.7312445784955
Tennessee,1981,3922921946,838297,40875,4627658,120751970357,,3.8,3.8,43.0,43.0,4679.63257174963
Texas,1981,15655129230,2935547,159640,14746318,479472785182,,3.82,3.82,42.0,42.0,5332.951313673397
Utah,1981,1650466824,355554,14463,1515471,39580941045,,4.88,4.88,10.0,10.0,4641.958251067348
Vermont,1981,651088075,93183,6103,515594,14442098962,,5.28,5.28,7.0,7.0,6987.198040415097
Virginia,1981,5776871090,989548,55471,5444097,181479100453,,3.73,3.73,46.0,46.0,5837.888702720838
Washington,1981,4860224158,750188,34576,4235731,146416176518,,3.89,3.89,38.0,38.0,6478.674889494367
West Virginia,1981,2382802868,377772,21870,1954124,48579652763,,5.74,5.74,2.0,2.0,6307.515824359667
Wisconsin,1981,5645931318,804262,46652,4726343,147048949630,,4.5,4.5,18.0,18.0,7020.015017494299
Wyoming,1981,836353053,99541,6634,491712,17948419846,,5.46,5.46,6.0,6.0,8402.096151334626
Alabama,1982,3576264346,724037,35619,3925266,95666936572,,4.19,4.19,21.0,21.0,4939.339213327496
Alaska,1982,1505589629,89413,5710,449606,22955690963,,7.35,7.35,1.0,1.0,16838.598738438483
Arizona,1982,2990229597,510296,26190,2889861,84630678110,,3.96,3.96,31.0,31.0,5859.794309577186
Arkansas,1982,1927508280,432565,23713,2294257,54415874805,,3.97,3.97,29.0,29.0,4455.996855963844
California,1982,26584883108,4065486,174674,24820009,899845264555,,3.31,3.31,48.0,48.0,6539.164839824808
Colorado,1982,3863429625,545209,29375,3061564,106469521901,,4.07,4.06,27.0,27.0,7086.144258440341
Connecticut,1982,4116346010,486470,32760,3139013,122754094667,,3.76,3.76,39.0,39.0,8461.664665858121
Delaware,1982,707837729,92646,5409,599148,20066187324,,3.95,3.95,33.0,33.0,7640.240582432053
District of Columbia,1982,818035155,91105,5355,634174,25480885310,,3.6,3.6,42.0,42.0,8979.036880522473
Florida,1982,9016341152,1484734,83301,10471407,328702132532,,3.07,3.07,51.0,51.0,6072.697972835538
Georgia,1982,5108911948,1053689,56510,5649792,152102546295,,3.76,3.76,40.0,40.0,4848.595693795797
Hawaii,1982,1166468808,162024,7077,993780,34607279909,,3.78,3.78,38.0,38.0,7199.358169160125
Idaho,1982,959902463,202973,9790,973721,25495342028,,4.22,4.22,19.0,19.0,4729.212570144798
Illinois,1982,12289497018,1880289,104619,11423412,386419396012,,3.56,3.56,46.0,46.0,6535.961768643012
Indiana,1982,5386740338,999542,50528,5467922,153581074264,,3.93,3.93,34.0,34.0,5389.208595536756
Iowa,1982,3547207158,504983,32110,2888189,85542765586,,4.65,4.65,11.0,11.0,7024.409055354338
Kansas,1982,2722777400,407074,26056,2401202,77085322753,,3.96,3.96,32.0,32.0,6688.654642644826
Kentucky,1982,2968262286,651084,32237,3683445,93053950520,,3.57,3.57,45.0,45.0,4558.954429843154
Louisiana,1982,4591687739,784027,42697,4352608,121908770943,,4.22,4.22,20.0,20.0,5856.542872885755
Maine,1982,1166194547,211986,12910,1136684,30440590954,,4.29,4.29,14.0,14.0,5501.28096666761
Maryland,1982,5097811611,699201,37760,4282923,154057620257,,3.71,3.71,41.0,41.0,7290.910068778506
Massachusetts,1982,6718549792,908984,56498,5771222,197395969242,,3.81,3.81,36.0,36.0,7391.273985020638
Michigan,1982,12874899043,1674697,80364,9115198,275509558913,,5.23,5.23,5.0,5.0,7687.897597595266
Minnesota,1982,4993400121,715190,39775,4131450,131076432900,,4.27,4.27,15.0,15.0,6981.921057341406
Mississippi,1982,2092473623,468294,25176,2556777,56421678704,,4.15,4.15,23.0,23.0,4468.290482047602
Missouri,1982,4263335255,802535,46047,4929451,144786658478,,3.3,3.3,49.0,49.0,5312.335605300704
Montana,1982,1098290992,152335,9517,803986,22698624233,,5.42,5.42,4.0,4.0,7209.708812813864
Nebraska,1982,1826472120,269009,17381,1581780,48418702512,,4.23,4.23,18.0,18.0,6789.632019746551
Nevada,1982,877552110,151104,7222,881537,30916611248,,3.18,3.18,50.0,50.0,5807.603438691232
New Hampshire,1982,967868049,160197,9758,947719,30437173912,,3.56,3.56,47.0,47.0,6041.736418284987
New Jersey,1982,10443458570,1172520,74303,7430968,276229503466,,4.24,4.24,17.0,17.0,8906.848983386211
New Mexico,1982,1716772694,268632,14323,1363823,36859636561,,5.22,5.22,6.0,6.0,6390.797425474255
New York,1982,26428811989,2718678,157250,17589738,616166345769,,4.8,4.8,9.0,9.0,9721.199784969018
North Carolina,1982,5307964996,1096815,55261,6019101,156185386285,,3.81,3.81,37.0,37.0,4839.4350879592275
North Dakota,1982,766928858,117078,7071,668972,19590692730,,4.39,4.39,12.0,12.0,6550.580450639744
Ohio,1982,11067798382,1860245,94126,10757087,320890510716,,3.86,3.86,35.0,35.0,5949.64554776387
Oklahoma,1982,3753287532,593825,34960,3206123,100344867642,,4.19,4.19,22.0,22.0,6320.527987201616
Oregon,1982,3409956570,448184,24074,2664922,78871121690,,4.84,4.84,8.0,8.0,7608.385328347286
Pennsylvania,1982,13248545424,1783969,103855,11845146,369235352542,,4.02,4.02,28.0,28.0,7426.443746500079
Rhode Island,1982,1092379954,139959,8854,954170,29625757762,,4.13,4.13,25.0,25.0,7804.999707057067
South Carolina,1982,2787341713,608518,32244,3207614,78577256042,,3.97,3.97,30.0,30.0,4580.541106425775
South Dakota,1982,702737444,123897,7974,690597,18426269813,,4.27,4.27,16.0,16.0,5671.948828462352
Tennessee,1982,3796139547,828264,39660,4646041,118403673970,,3.59,3.59,43.0,44.0,4583.248272289995
Texas,1982,17904306694,2985659,167835,15331415,487697641932,,4.11,4.11,26.0,26.0,5996.768785048795
Utah,1982,1689257620,370183,14616,1558314,39603258773,,4.78,4.78,10.0,10.0,4563.304149569267
Vermont,1982,643622257,91454,6189,519109,14462763458,,4.98,4.99,7.0,7.0,7037.661086447832
Virginia,1982,5807901164,975727,56038,5492783,180984440208,,3.6,3.59,44.0,43.0,5952.383365429059
Washington,1982,5307738851,739215,34056,4276552,143532603911,,4.14,4.14,24.0,24.0,7180.23694189106
West Virginia,1982,2304046427,375115,22159,1949604,47495312511,,5.43,5.43,3.0,3.0,6142.24018500993
Wisconsin,1982,5546684787,784830,45047,4728870,143153837901,,4.34,4.34,13.0,13.0,7067.371006459997
Wyoming,1982,919451431,101665,6759,506400,17392483057,,5.92,5.92,2.0,2.0,9043.932828407023
Alabama,1983,3138704988,721901,35875,3934102,98767903103,,3.58,3.58,41.0,41.0,4347.832996491208
Alaska,1983,1555906076,98206,6259,488417,24111275097,,7.26,7.26,1.0,1.0,15843.289371321507
Arizona,1983,2980844399,506682,26268,2968925,89852040943,,3.73,3.73,34.0,34.0,5883.067484141928
Arkansas,1983,2030242857,432120,23696,2305761,55592158196,,4.11,4.11,19.0,19.0,4698.331151069147
California,1983,27287514727,4089017,174290,25360026,937253556540,,3.28,3.28,49.0,49.0,6673.367884506228
Colorado,1983,3813454969,542196,28417,3133630,110739777826,,3.88,3.88,32.0,32.0,7033.351350803031
Connecticut,1983,4086693197,477585,32317,3162354,126615431078,,3.63,3.63,37.0,37.0,8556.996549305359
Delaware,1983,727508746,91406,5429,605458,20608949869,,3.97,3.97,26.0,26.0,7959.091810165634
District of Columbia,1983,833913866,88843,5569,632433,25832658189,,3.63,3.63,38.0,38.0,9386.376709476268
Florida,1983,9148089921,1495543,85028,10749851,349986936786,,2.94,2.94,51.0,51.0,6116.901968716379
Georgia,1983,5171603873,1050859,56555,5728250,160630741580,,3.62,3.62,40.0,40.0,4921.310920875208
Hawaii,1983,1124775800,162241,7007,1012717,36605495308,,3.46,3.46,45.0,45.0,6932.74696285156
Idaho,1983,937982042,206352,9847,981869,26863663257,,3.93,3.93,30.0,30.0,4545.543740792433
Illinois,1983,11982605651,1853316,102130,11408818,387818081186,,3.48,3.48,43.0,43.0,6465.495172436865
Indiana,1983,5471006888,984384,50509,5450395,155300840752,,3.96,3.96,27.0,27.0,5557.797453026461
Iowa,1983,3442883010,497287,31779,2870543,84015001191,,4.61,4.61,10.0,10.0,6923.332019538013
Kansas,1983,2717904456,405222,26096,2415531,77400145670,,3.95,3.95,29.0,29.0,6707.198661474451
Kentucky,1983,3042791400,647414,32458,3694484,93152879192,,3.68,3.68,36.0,36.0,4699.915973395694
Louisiana,1983,4383723315,800193,42200,4395316,122723310915,,4.02,4.02,24.0,24.0,5478.332496035331
Maine,1983,1214202121,209753,13492,1144772,31611912996,,4.32,4.32,13.0,13.0,5788.723503358712
Maryland,1983,5219228102,683491,37275,4313327,159130107115,,3.69,3.69,35.0,35.0,7636.1328854366775
Massachusetts,1983,6512782965,878844,56873,5799407,206418720811,,3.55,3.55,42.0,42.0,7410.624598904925
Michigan,1983,12103414438,1635963,79982,9047754,282784313215,,4.82,4.82,6.0,6.0,7398.3424062769145
Minnesota,1983,5063533680,705236,39392,4141456,133256137759,,4.28,4.28,16.0,16.0,7179.9137877249605
Mississippi,1983,2207974215,467744,24955,2567717,56901950278,,4.37,4.37,12.0,12.0,4720.475762382842
Missouri,1983,4416456265,795453,46761,4943733,148917631895,,3.34,3.34,48.0,48.0,5552.127234418627
Montana,1983,1128676699,153646,9479,814031,23004744093,,5.52,5.52,3.0,3.0,7345.955631776942
Nebraska,1983,1827342160,266998,17548,1584293,48272478414,,4.26,4.26,18.0,18.0,6844.029393478603
Nevada,1983,840852793,150442,7366,901977,31756375358,,2.98,2.98,50.0,50.0,5589.215730979381
New Hampshire,1983,969130814,159030,9821,958134,32220682458,,3.38,3.39,46.0,46.0,6094.012538514746
New Jersey,1983,10485206325,1147841,73593,7467785,287501642940,,4.1,4.1,20.0,20.0,9134.720161590325
New Mexico,1983,1621571965,269711,14532,1394361,38234625242,,4.77,4.77,7.0,7.0,6012.257434809852
New York,1983,26694281409,2674818,158440,17686905,640407226323,,4.69,4.69,8.0,8.0,9979.849623039772
North Carolina,1983,5288473560,1089606,55126,6077056,163836792244,,3.63,3.63,39.0,39.0,4853.565013408516
North Dakota,1983,759419272,117213,7067,676688,19847354435,,4.31,4.31,15.0,15.0,6478.967964304301
Ohio,1983,11350037516,1827300,96927,10737632,327276946600,,3.9,3.9,31.0,31.0,6211.370610189898
Oklahoma,1983,3553600242,591389,34999,3290402,99038326507,,4.04,4.04,22.0,22.0,6008.90486972196
Oregon,1983,3316640828,447109,24409,2653066,80863694158,,4.62,4.62,9.0,9.0,7417.969282658144
Pennsylvania,1983,13130687977,1737952,102207,11837723,373019052695,,3.96,3.96,28.0,28.0,7555.265034362284
Rhode Island,1983,1092809098,136412,8848,956382,30883011675,,3.98,3.98,25.0,25.0,8011.092117995484
South Carolina,1983,2954418951,604553,32323,3234066,82235326269,,4.04,4.04,23.0,23.0,4886.947796140289
South Dakota,1983,706986330,123060,8355,693008,18426807875,,4.32,4.32,14.0,14.0,5745.053876157972
Tennessee,1983,3656299957,822057,39409,4659749,121797231142,,3.38,3.38,47.0,47.0,4447.745055391536
Texas,1983,17173808398,2989796,170439,15751676,502028503898,,3.85,3.85,33.0,33.0,5744.140536009815
Utah,1983,1642386499,378208,15245,1594943,40893493031,,4.52,4.52,11.0,11.0,4342.548277667315
Vermont,1983,652110833,90416,6242,523302,14972636768,,4.9,4.9,5.0,5.0,7212.338889134667
Virginia,1983,5806419070,966110,56388,5564657,188153355961,,3.47,3.47,44.0,44.0,6010.101406672118
Washington,1983,5334167563,736239,34757,4300266,147710230680,,4.06,4.06,21.0,21.0,7245.157568398306
West Virginia,1983,2221292550,371251,22503,1945061,47014135209,,5.32,5.32,4.0,4.0,5983.263479424972
Wisconsin,1983,5518044634,774646,45311,4721438,144960883833,,4.28,4.28,17.0,17.0,7123.311337049439
Wyoming,1983,953318239,99254,7028,510345,16646372625,,6.45,6.45,2.0,2.0,9604.834455034557
Alabama,1984,3484933950,712586,36647,3951820,104279763134,,3.74,3.74,35.0,35.0,4890.545071051073
Alaska,1984,1653832986,104599,6127,513702,24617887735,,7.51,7.51,1.0,1.0,15811.173969158404
Arizona,1984,3147554799,530062,26900,3067135,97433379835,,3.61,3.61,38.0,38.0,5938.08799536658
Arkansas,1984,2202316169,432668,23985,2319768,59493917888,,4.14,4.14,22.0,22.0,5090.08331792506
California,1984,29524439217,4151110,178310,25844393,999243094002,,3.3,3.3,48.0,48.0,7112.420344678893
Colorado,1984,4092173487,545427,28824,3169992,115893268579,,3.95,3.95,29.0,29.0,7502.696945695758
Connecticut,1984,4639254684,468145,32618,3180014,135927197909,,3.82,3.82,32.0,32.0,9909.866994200514
Delaware,1984,773701269,91767,5577,611565,21825188003,,3.96,3.96,27.0,27.0,8431.149203962208
District of Columbia,1984,849774340,87397,5889,633382,27064206105,,3.51,3.51,40.0,40.0,9723.152282114947
Florida,1984,10052826197,1524107,86264,11039925,374324413633,,3.0,3.0,50.0,50.0,6595.879552419876
Georgia,1984,5760587127,1062315,56294,5834954,174802424673,,3.69,3.69,36.0,36.0,5422.673243811863
Hawaii,1984,1142820068,163860,7078,1027922,37636378255,,3.4,3.4,44.0,44.0,6974.368778225315
Idaho,1984,1024177009,208080,10147,990839,27472858274,,4.17,4.17,20.0,20.0,4922.034837562476
Illinois,1984,12403969745,1834355,102013,11412132,410396481116,,3.38,3.38,46.0,46.0,6762.033382306042
Indiana,1984,5906023452,972659,51308,5458322,165429452042,,3.99,3.99,26.0,26.0,6072.039072275073
Iowa,1984,3504250688,491011,31882,2858618,89864801126,,4.36,4.36,12.0,12.0,7136.806890273334
Kansas,1984,2881670358,405347,26331,2424086,81529999600,,3.95,3.95,30.0,30.0,7109.144407137588
Kentucky,1984,3033376188,644421,32850,3695453,99881400922,,3.4,3.4,45.0,45.0,4707.134292644095
Louisiana,1984,4800658314,800941,42180,4400477,125282295402,,4.29,4.29,15.0,15.0,5993.772717341228
Maine,1984,1312585230,207537,13261,1155635,33535505092,,4.38,4.38,11.0,11.0,6324.584194625537
Maryland,1984,5359903930,673840,38030,4365243,169456621868,,3.54,3.54,39.0,39.0,7954.2679716253115
Massachusetts,1984,6877367497,859391,56504,5840773,223611304574,,3.44,3.44,43.0,43.0,8002.605911628118
Michigan,1984,12563772044,1609448,81185,9049452,299622797178,,4.69,4.69,7.0,7.0,7806.2615530293615
Minnesota,1984,5392324854,701697,40108,4157706,145138169144,,4.15,4.15,21.0,21.0,7684.691332583722
Mississippi,1984,2242564119,466058,25388,2578051,59662486908,,4.2,4.2,18.0,18.0,4811.770464191152
Missouri,1984,4614590685,793793,47366,4975278,158569933495,,3.25,3.25,49.0,49.0,5813.342628367849
Montana,1984,1179081120,154412,9597,820905,23358363372,,5.64,5.64,3.0,3.0,7635.942284278424
Nebraska,1984,1905866245,265599,17656,1588639,51603768841,,4.13,4.13,24.0,24.0,7175.728240693677
Nevada,1984,870225810,151633,7496,924922,33208096867,,2.93,2.93,51.0,51.0,5739.0265311640605
New Hampshire,1984,1036486007,158614,10065,976864,34969679608,,3.31,3.31,47.0,47.0,6534.643896503461
New Jersey,1984,10290432144,1129223,73774,7515473,305436360769,,3.77,3.77,34.0,34.0,9112.843206346311
New Mexico,1984,1718401010,272478,14538,1416717,40065182961,,4.8,4.8,6.0,6.0,6306.567906399783
New York,1984,27779696206,2645811,163044,17745684,679830829060,,4.57,4.57,9.0,9.0,10499.5013649879
North Carolina,1984,5859367989,1088724,56084,6164006,177876072771,,3.68,3.68,37.0,37.0,5381.867203258126
North Dakota,1984,800317096,118711,7794,680497,20574420472,,4.35,4.35,13.0,13.0,6741.72651228614
Ohio,1984,12057431682,1805440,98061,10737746,347016475699,,3.89,3.89,31.0,31.0,6678.389579271535
Oklahoma,1984,3451222760,589690,34894,3285533,101985473101,,3.78,3.78,33.0,33.0,5852.605199342027
Oregon,1984,3417870829,446884,24444,2666588,84126400343,,4.54,4.54,10.0,10.0,7648.228240438235
Pennsylvania,1984,14590224413,1701880,101484,11815172,386700006723,,4.22,4.22,17.0,17.0,8573.004214750747
Rhode Island,1984,1151871640,134610,8752,961894,32549388490,,3.96,3.96,28.0,28.0,8557.103038407251
South Carolina,1984,3409787504,602718,33764,3271868,88013947344,,4.33,4.33,14.0,14.0,5657.351371619895
South Dakota,1984,742176302,123314,8579,697249,20121984142,,4.12,4.12,25.0,25.0,6018.5891464067345
Tennessee,1984,4021973423,817212,39636,4686737,130091012500,,3.46,3.46,42.0,42.0,4921.5790064267285
Texas,1984,19707707451,3040305,172865,16007086,527438354184,,4.18,4.18,19.0,19.0,6482.148156517192
Utah,1984,1782749974,390141,15821,1622342,43347292314,,4.6,4.6,8.0,8.0,4569.501728862129
Vermont,1984,685715699,90089,6327,526660,15801946929,,4.85,4.85,5.0,5.0,7611.536358489938
Virginia,1984,6233448504,965222,57498,5643870,201013569376,,3.47,3.47,41.0,41.0,6458.046443201668
Washington,1984,5620993141,741177,35706,4343656,151860740566,,4.14,4.14,23.0,23.0,7583.874217629527
West Virginia,1984,2388883256,362941,22732,1927697,48504823228,,5.51,5.51,4.0,4.0,6582.015412973458
Wisconsin,1984,5817647955,767542,47082,4735563,153033426343,,4.25,4.25,16.0,16.0,7579.582557045738
Wyoming,1984,994257753,101261,7191,504896,16679576111,,6.67,6.67,2.0,2.0,9818.762929459515
Alabama,1985,3701734913,730460,36138,3972523,108306601639,,3.84,3.84,34.0,34.0,5067.676413492867
Alaska,1985,1719798493,107345,6814,532495,25763601409,,7.49,7.49,1.0,1.0,16021.225888490382
Arizona,1985,3467749233,548252,27935,3183538,104715701897,,3.72,3.72,37.0,37.0,6325.100926216412
Arkansas,1985,2282521810,433410,24767,2327046,61044120892,,4.2,4.2,19.0,19.0,5266.426270736716
California,1985,31614168036,4255554,184151,26441109,1043313083434,,3.4,3.4,46.0,46.0,7428.919486393546
Colorado,1985,4242810693,550642,29894,3208723,118608705983,,4.01,4.01,29.0,29.0,7705.207181798701
Connecticut,1985,4506628723,462026,32903,3201131,140967014218,,3.59,3.59,38.0,38.0,9754.05869583097
Delaware,1985,823007357,92901,5745,618280,22869078717,,4.04,4.04,27.0,27.0,8858.97199169008
District of Columbia,1985,855276798,87092,6137,634549,27680047967,,3.47,3.47,43.0,43.0,9820.383020254443
Florida,1985,10704178126,1562283,88973,11351118,395476849818,,3.04,3.04,51.0,51.0,6851.625554396995
Georgia,1985,6263561980,1079594,57374,5962661,184867666621,,3.8,3.8,35.0,35.0,5801.775463739146
Hawaii,1985,1209539683,164169,7276,1039698,38654330024,,3.51,3.51,40.0,40.0,7367.649696349494
Idaho,1985,1034318069,208669,10255,994051,28035519788,,4.14,4.14,21.0,21.0,4956.740431017544
