State,Year,Inflation Adjusted Total Spending,Num Students,Num Teachers,Population,Personal Income,NAEP Scores,Effort,Alternative Effort,Alternative Effort Ranked,Effort Ranked,Inflation Adjusted Exp Per Student
Kansas,1976,2599789737,458330,25633,2100901,70197182651,,4.61,4.21,43.0,38.0,5672.309770252875
Kentucky,1976,2927160154,694000,32300,3281510,87129708540,,4.11,3.82,49.0,49.0,4217.81002017291
Louisiana,1976,4092223744,839499,40428,3718788,99929185944,,4.95,4.65,25.0,25.0,4874.602285410703
Maine,1976,1199584204,248822,13230,1003487,28740981097,,5.15,4.74,21.0,20.0,4821.053620660553
Maryland,1976,5840221714,860929,42891,3945879,146700262272,,4.78,4.52,28.0,29.0,6783.6275860146425
Massachusetts,1976,8818388118,1169000,62982,5290267,181392280388,,6.0,5.52,4.0,4.0,7543.531324208725
Michigan,1976,13748374166,2035703,87999,8570889,287355422888,,5.78,5.44,6.0,7.0,6753.624750761776
Minnesota,1976,5944722919,862591,45024,3649277,119952916469,,6.11,5.63,3.0,2.0,6891.705245011831
Mississippi,1976,2183102468,510209,24130,2261412,52950810777,,5.04,4.69,23.0,24.0,4278.839589266359
Missouri,1976,4747501358,950142,48563,4413397,137806919137,,4.28,3.92,48.0,47.0,4996.6229868798555
Montana,1976,1124650602,170552,9580,708411,21427567185,,6.39,5.96,2.0,1.0,6594.180085838923
Nebraska,1976,1930120740,312024,17852,1413352,45549573486,,5.28,4.82,19.0,19.0,6185.808591646796
Nevada,1976,765862319,141791,5995,618828,23050293588,,3.95,3.78,50.0,51.0,5401.346481793626
New Hampshire,1976,921308776,175496,9624,786252,24233903094,,4.65,4.32,35.0,34.0,5249.742307516981
New Jersey,1976,11198480521,1427000,80010,6836944,255931147775,,5.34,4.97,17.0,16.0,7847.568690259285
New Mexico,1976,1496569649,284719,12887,1135588,31150105680,,5.75,5.46,5.0,8.0,5256.304106856233
New York,1976,28770058384,3338809,172102,16615651,601749747367,,5.88,5.43,7.0,5.0,8616.862595015169
North Carolina,1976,5584804146,1191316,52906,5268299,143247064822,,4.7,4.43,32.0,33.0,4687.928430408053
North Dakota,1976,732756852,129106,7551,595570,18286432505,,4.93,4.55,27.0,26.0,5675.621985035552
Ohio,1976,12005670794,2249440,105588,10035366,323642527563,,4.52,4.22,40.0,40.0,5337.182051532826
Oklahoma,1976,2997498598,597665,30405,2593961,77341191059,,4.79,4.4,33.0,28.0,5015.349063438548
Oregon,1976,3333664879,474707,23942,2197502,74991804207,,5.45,5.05,14.0,14.0,7022.57366965307
Pennsylvania,1976,15064232124,2193673,114425,10977265,362363721842,,5.12,4.72,22.0,21.0,6867.127472508437
Rhode Island,1976,1146101448,172373,9162,873236,27962607388,,5.07,4.66,24.0,22.0,6648.961542701003
South Carolina,1976,2774934374,620711,30917,2791818,71757942304,,4.63,4.39,34.0,36.0,4470.57386448766
South Dakota,1976,764772494,148080,8163,627030,17532578014,,5.43,4.96,18.0,15.0,5164.590045921123
Tennessee,1976,4012418462,841974,40135,4034216,109309792804,,4.48,4.17,45.0,45.0,4765.489744338899
Texas,1976,14282144425,2822754,142400,12121583,375489973547,,4.6,4.32,36.0,39.0,5059.648989958034
Utah,1976,1485374544,314471,12779,1211056,33273024122,,5.33,5.07,12.0,18.0,4723.407067742335
Vermont,1976,605922367,104356,6314,449094,12821321799,,5.8,5.37,9.0,6.0,5806.301190156771
Virginia,1976,5966149366,1100723,59538,4849502,159467641791,,4.5,4.25,38.0,42.0,5420.209594966218
Washington,1976,4936297273,780730,33690,3443780,122144934525,,4.92,4.59,26.0,27.0,6322.668877845093
West Virginia,1976,2037663695,404771,20175,1735766,45655229023,,5.49,5.07,13.0,12.0,5034.114832831404
Wisconsin,1976,6059878383,945337,49366,4234550,136456578951,,5.46,5.05,15.0,13.0,6410.283722101219
Wyoming,1976,609488698,90587,4991,373438,12885517568,,5.69,5.38,8.0,9.0,6728.213739278262
Alabama,1977,3778945163,761880,37980,3523591,94888148347,,4.93,4.6,29.0,28.0,4960.026727306137
Alaska,1977,1145855052,90344,4915,391799,21532227475,,6.23,6.14,1.0,2.0,12683.24462056141
Arizona,1977,2952842463,513817,24189,2267015,70533203002,,5.17,4.83,20.0,23.0,5746.8757612145955
Arkansas,1977,2002373079,458778,22463,2017865,53648587703,,4.71,4.31,36.0,36.0,4364.579554817363
California,1977,31656419231,4303665,207000,20901702,822125689304,,4.75,4.44,34.0,35.0,7355.688519203981
Colorado,1977,3807349686,561807,29158,2545888,89715990280,,5.19,4.9,15.0,20.0,6776.970892139116
Connecticut,1977,4180983140,616389,36425,2866754,114538705144,,4.54,4.21,37.0,37.0,6783.026854794618
Delaware,1977,852446533,118000,6029,560264,20088243311,,5.2,4.9,16.0,19.0,7224.123161016949
District of Columbia,1977,1036937788,119875,6022,634651,30241892521,,4.25,3.96,46.0,46.0,8650.158815432742
Florida,1977,8424040257,1535570,70598,7926962,270511027489,,4.03,3.59,51.0,50.0,5485.936985614462
Georgia,1977,5122016329,1089625,52920,4916462,141229532149,,4.44,4.19,38.0,40.0,4700.714767924745
Hawaii,1977,1217557095,172356,7891,875171,34252253470,,4.29,4.1,43.0,44.0,7064.199070528442
Idaho,1977,994499849,201433,9561,829237,25177779044,,4.86,4.56,30.0,30.0,4937.124746193524
Illinois,1977,14441988671,2173352,107000,10613526,404466828374,,4.43,4.12,40.0,41.0,6645.029737934766
Indiana,1977,5863342923,1143722,52649,5037614,164824775732,,4.4,4.11,41.0,42.0,5126.545544284363
Iowa,1977,3881043346,588760,33331,2654132,90144355301,,5.46,4.97,13.0,10.0,6591.89371900265
Kansas,1977,2595671507,446592,25613,2116219,72801291978,,4.51,4.11,42.0,38.0,5812.176454123674
Kentucky,1977,3139010668,697000,32860,3320269,92934871646,,4.2,3.9,48.0,48.0,4503.602106169297
Louisiana,1977,4354875464,839000,40794,3774288,106059111518,,5.04,4.74,24.0,26.0,5190.554784266985
Maine,1977,1234748701,245768,13425,1016149,29691500670,,5.22,4.8,21.0,17.0,5024.041783307835
